spot_number,x_location,y_location,z_location,row,col
634,766.24829,1155.626673076923,12.096739269230769,11.0,7.0
635,782.5355758745874,1287.228717821782,13.850767643564357,12.0,7.0
636,775.7712087257618,1341.1477096952908,13.834818527700829,13.0,7.0
637,731.5695209273423,1439.036851912046,13.478608534416827,14.0,7.0
638,756.9261356533333,1574.6171178666666,12.942799372,15.0,7.0
639,743.5266822039474,1653.8009417763158,12.965330623355264,16.0,7.0
640,756.104361940594,1768.9504117821782,13.539562328217823,17.0,7.0
641,762.3299224200913,1846.1646238964993,13.477343327245054,18.0,7.0
642,755.9297807551487,1959.8303562929061,13.695974660183067,19.0,7.0
643,767.0651320930233,2034.2793976744183,13.96482157364341,20.0,7.0
644,748.5011532919254,2168.928888354037,15.080070014751552,21.0,7.0
645,771.2869824080664,2257.8289669039145,15.129066322064057,22.0,7.0
646,769.2062528473413,2336.361629502573,14.769980911663808,23.0,7.0
647,726.1459948245614,2467.265824035088,15.11540177982456,24.0,7.0
648,761.7082876699029,2557.1931723300972,14.81956417475728,25.0,7.0
649,743.7723185897436,2650.262264957265,15.423294553418804,26.0,7.0
650,735.3673554828661,2753.995383800623,15.050925546728973,27.0,7.0
651,731.2855250120482,2875.870481044177,15.756975691566264,28.0,7.0
652,764.5057395508982,2950.2067661676647,15.941544601796409,29.0,7.0
653,749.3722662121212,3061.6987515151513,15.485623856060606,30.0,7.0
654,750.2176051576806,3138.8669748728385,15.864780804170904,31.0,7.0
655,766.1817590974213,3265.697035959885,15.673778919770774,32.0,7.0
656,753.6345854477612,3359.7786405970146,15.667108618656716,33.0,7.0
657,756.919839730337,3462.5314633707867,15.991733303370786,34.0,7.0
658,747.6258908791208,3553.257843956044,16.197109600732603,35.0,7.0
659,744.4062899796127,3655.987487461774,15.583418412334353,36.0,7.0
660,747.6377412018289,3770.8737853298494,15.927107915676029,37.0,7.0
661,744.524079121363,3840.636890620214,15.925922209705206,38.0,7.0
662,753.8743069198583,3962.1803514000644,15.669121383971678,39.0,7.0
663,742.6153447330447,4062.134801298701,16.289528432178933,40.0,7.0
664,757.5210360245902,4149.242157377049,16.17982325819672,41.0,7.0
665,747.8069899425287,4256.8116442528735,15.890252712643678,42.0,7.0
666,756.6023724778761,4363.7459206489675,16.45294757964602,43.0,7.0
667,731.365251904762,4469.7215705627705,16.738788261904762,44.0,7.0
668,759.9814185223368,4566.042311340207,16.64261636082474,45.0,7.0
669,761.0967976865671,4666.872908208956,16.79706364925373,46.0,7.0
670,738.611867909091,4763.769455454545,16.37298573787879,47.0,7.0
671,752.8366905208333,4866.825709375,17.133474901041666,48.0,7.0
672,750.1269148076923,4959.939529545454,17.217054041083916,49.0,7.0
673,781.2978247105075,5061.361921300929,16.448076339885635,50.0,7.0
674,762.3970000223214,5149.375098995536,16.917973260044644,51.0,7.0
675,752.0730672281167,5269.915633289125,17.0849305596817,52.0,7.0
676,767.5292487173397,5352.908921140142,17.285051287410926,53.0,7.0
677,751.468638516129,5476.74778483871,17.16180696129032,54.0,7.0
678,756.5848511764706,5539.4497625,16.620655985294118,55.0,7.0
